article_title,journal_name,author_names,corresponding_author_email,comparison,gene_symbol,logFC,mean_case,mean_control,p_value,n_case,n_control,FDR,dataset,species,axis,brain_region,time_after_TBI,severity,platform,gene_set,source_note,significant_nominal_0_05,significant_FDR_0_05,stage_correlation,n_samples,effect,comparison_short
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_HIP_TBI_vs_Control,MYH9,0.0174072574304271,2.581180697261334,2.5637734398309067,0.3041443174642174,21.0,26.0,0.9108922951083008,GSE104687,human,brain_region,HIP,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,0.0174072574304271,104687 HIP
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_HIP_TBI_vs_Control,TLN1,0.0127869423229736,2.4302539199419804,2.4174669776190068,0.4600820313058195,21.0,26.0,0.937950381910331,GSE104687,human,brain_region,HIP,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,0.0127869423229736,104687 HIP
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_HIP_TBI_vs_Control,WASF2,0.0101776526371937,2.2614146628252283,2.2512370101880346,0.604229772761578,21.0,26.0,0.9680649103892708,GSE104687,human,brain_region,HIP,remote/chronic history,history of TBI with LOC,,双硫死亡_核心转运与应激,来自用户提供的 2023 Nature Cell Biology 双硫死亡文章：SLC7A11/SLC3A2/RPN1/NCKAP1 为 CRISPR suppressor hits，Rac-WRC 轴促进双硫死亡。,False,False,,,0.0101776526371937,104687 HIP
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_HIP_TBI_vs_Control,FLNA,0.0162963177088326,2.3456154298473666,2.329319112138534,0.6846513929399848,21.0,26.0,0.983872416541678,GSE104687,human,brain_region,HIP,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,0.0162963177088326,104687 HIP
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_HIP_TBI_vs_Control,SLC7A11,-0.0056567708548564,2.4952370550749823,2.5008938259298388,0.852734087244386,21.0,26.0,0.9925016627902928,GSE104687,human,brain_region,HIP,remote/chronic history,history of TBI with LOC,,双硫死亡_核心转运与应激,来自用户提供的 2023 Nature Cell Biology 双硫死亡文章：SLC7A11/SLC3A2/RPN1/NCKAP1 为 CRISPR suppressor hits，Rac-WRC 轴促进双硫死亡。,False,False,,,-0.0056567708548564,104687 HIP
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_HIP_TBI_vs_Control,SLC3A2,0.0012272043176206,2.5343859795002808,2.53315877518266,0.957967593617746,21.0,26.0,0.995935232467562,GSE104687,human,brain_region,HIP,remote/chronic history,history of TBI with LOC,,双硫死亡_核心转运与应激,来自用户提供的 2023 Nature Cell Biology 双硫死亡文章：SLC7A11/SLC3A2/RPN1/NCKAP1 为 CRISPR suppressor hits，Rac-WRC 轴促进双硫死亡。,False,False,,,0.0012272043176206,104687 HIP
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_PCx_TBI_vs_Control,ACTB,0.0209414803944465,3.306251105149913,3.2853096247554663,0.0284836406463512,21.0,25.0,0.7761373480056598,GSE104687,human,brain_region,PCx,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,True,False,,,0.0209414803944465,104687 PCx
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_PCx_TBI_vs_Control,MYL6,0.0278739808180339,2.9711317892038656,2.943257808385832,0.0675438049686128,21.0,25.0,0.8016276366245949,GSE104687,human,brain_region,PCx,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,0.0278739808180339,104687 PCx
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_PCx_TBI_vs_Control,SLC7A11,-0.0212435281438621,2.366848160204139,2.388091688348001,0.4835273844686825,21.0,25.0,0.9338747242601008,GSE104687,human,brain_region,PCx,remote/chronic history,history of TBI with LOC,,双硫死亡_核心转运与应激,来自用户提供的 2023 Nature Cell Biology 双硫死亡文章：SLC7A11/SLC3A2/RPN1/NCKAP1 为 CRISPR suppressor hits，Rac-WRC 轴促进双硫死亡。,False,False,,,-0.0212435281438621,104687 PCx
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_PCx_TBI_vs_Control,TLN1,-0.0087433706706399,2.306276131758334,2.315019502428974,0.6561694749977636,21.0,25.0,0.9629958353634736,GSE104687,human,brain_region,PCx,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,-0.0087433706706399,104687 PCx
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_PCx_TBI_vs_Control,MYH9,0.0053764042730781,2.4685421674798214,2.463165763206743,0.7390906994385532,21.0,25.0,0.9719485838320702,GSE104687,human,brain_region,PCx,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,0.0053764042730781,104687 PCx
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_PCx_TBI_vs_Control,WASF2,0.0109028755502427,2.120690097940104,2.1097872223898606,0.8153790571559141,21.0,25.0,0.9831611889817594,GSE104687,human,brain_region,PCx,remote/chronic history,history of TBI with LOC,,双硫死亡_核心转运与应激,来自用户提供的 2023 Nature Cell Biology 双硫死亡文章：SLC7A11/SLC3A2/RPN1/NCKAP1 为 CRISPR suppressor hits，Rac-WRC 轴促进双硫死亡。,False,False,,,0.0109028755502427,104687 PCx
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_PCx_TBI_vs_Control,FLNA,0.0068701491693756,2.2466234606963,2.239753311526924,0.8904407247930991,21.0,25.0,0.9913025898209382,GSE104687,human,brain_region,PCx,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,0.0068701491693756,104687 PCx
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_PCx_TBI_vs_Control,SLC3A2,0.0013007743175759,2.505008540892854,2.5037077665752787,0.960180503695252,21.0,25.0,0.9968962395303148,GSE104687,human,brain_region,PCx,remote/chronic history,history of TBI with LOC,,双硫死亡_核心转运与应激,来自用户提供的 2023 Nature Cell Biology 双硫死亡文章：SLC7A11/SLC3A2/RPN1/NCKAP1 为 CRISPR suppressor hits，Rac-WRC 轴促进双硫死亡。,False,False,,,0.0013007743175759,104687 PCx
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_TCx_TBI_vs_Control,ACTB,0.0213345531269815,3.3075254229159463,3.286190869788965,0.0383186738232482,21.0,27.0,0.3974601538647991,GSE104687,human,brain_region,TCx,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,True,False,,,0.0213345531269815,104687 TCx
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_TCx_TBI_vs_Control,MYH9,0.0213165542232336,2.4547926066310124,2.4334760524077788,0.2412108840570848,21.0,27.0,0.645600925991763,GSE104687,human,brain_region,TCx,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,0.0213165542232336,104687 TCx
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_TCx_TBI_vs_Control,SLC3A2,0.0206063756943351,2.4909621838207903,2.470355808126455,0.3592102489300238,21.0,27.0,0.7361838523845634,GSE104687,human,brain_region,TCx,remote/chronic history,history of TBI with LOC,,双硫死亡_核心转运与应激,来自用户提供的 2023 Nature Cell Biology 双硫死亡文章：SLC7A11/SLC3A2/RPN1/NCKAP1 为 CRISPR suppressor hits，Rac-WRC 轴促进双硫死亡。,False,False,,,0.0206063756943351,104687 TCx
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_TCx_TBI_vs_Control,SLC7A11,-0.0274183151887026,2.310671115059268,2.3380894302479707,0.386042969213582,21.0,27.0,0.7558885062588628,GSE104687,human,brain_region,TCx,remote/chronic history,history of TBI with LOC,,双硫死亡_核心转运与应激,来自用户提供的 2023 Nature Cell Biology 双硫死亡文章：SLC7A11/SLC3A2/RPN1/NCKAP1 为 CRISPR suppressor hits，Rac-WRC 轴促进双硫死亡。,False,False,,,-0.0274183151887026,104687 TCx
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_TCx_TBI_vs_Control,MYL6,0.0094997456418224,2.9646743621833225,2.9551746165415,0.4415449627187893,21.0,27.0,0.7866155515150675,GSE104687,human,brain_region,TCx,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,0.0094997456418224,104687 TCx
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_TCx_TBI_vs_Control,WASF2,-0.016245739715714,2.075632455189315,2.091878194905029,0.5695158841615964,21.0,27.0,0.8514885022374008,GSE104687,human,brain_region,TCx,remote/chronic history,history of TBI with LOC,,双硫死亡_核心转运与应激,来自用户提供的 2023 Nature Cell Biology 双硫死亡文章：SLC7A11/SLC3A2/RPN1/NCKAP1 为 CRISPR suppressor hits，Rac-WRC 轴促进双硫死亡。,False,False,,,-0.016245739715714,104687 TCx
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_TCx_TBI_vs_Control,FLNA,-0.018907505439536,2.188371327678817,2.207278833118353,0.6888825815403106,21.0,27.0,0.8988654163004379,GSE104687,human,brain_region,TCx,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,-0.018907505439536,104687 TCx
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE104687_human_brain_TCx_TBI_vs_Control,TLN1,-0.0010881789656362,2.280982575412396,2.282070754378032,0.9574406636103632,21.0,27.0,0.9882215432923735,GSE104687,human,brain_region,TCx,remote/chronic history,history of TBI with LOC,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,-0.0010881789656362,104687 TCx
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE209552_human_acute_brain_severe_TBI_vs_Control,ACTB,1.1248157363518771,11.707196975848014,10.582381239496137,0.0143353295866494,4.0,3.0,0.7301501106874008,GSE209552,human,acute_global,"brain tissue, region not specified",acute,severe TBI,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,True,False,,,1.1248157363518771,GSE209552 human acute brain severe
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE209552_human_acute_brain_severe_TBI_vs_Control,MYH9,1.5622747415048917,10.050398974105802,8.48812423260091,0.019491124565886,4.0,3.0,0.7301501106874008,GSE209552,human,acute_global,"brain tissue, region not specified",acute,severe TBI,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,True,False,,,1.5622747415048917,GSE209552 human acute brain severe
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE209552_human_acute_brain_severe_TBI_vs_Control,MYL6,1.1372058111294985,7.827046139744056,6.689840328614557,0.0195825850527561,4.0,3.0,0.7301501106874008,GSE209552,human,acute_global,"brain tissue, region not specified",acute,severe TBI,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,True,False,,,1.1372058111294985,GSE209552 human acute brain severe
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE209552_human_acute_brain_severe_TBI_vs_Control,FLNA,1.2981796580363856,9.026680305823408,7.728500647787023,0.0640155890568238,4.0,3.0,0.7301501106874008,GSE209552,human,acute_global,"brain tissue, region not specified",acute,severe TBI,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,1.2981796580363856,GSE209552 human acute brain severe
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE209552_human_acute_brain_severe_TBI_vs_Control,TLN1,1.1737580154133935,8.42093637482365,7.247178359410257,0.0659116812965318,4.0,3.0,0.7301501106874008,GSE209552,human,acute_global,"brain tissue, region not specified",acute,severe TBI,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,False,False,,,1.1737580154133935,GSE209552 human acute brain severe
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE209552_human_acute_brain_severe_TBI_vs_Control,SLC3A2,0.6077911488752639,6.541998518443292,5.934207369568028,0.1194760347460045,4.0,3.0,0.7301501106874008,GSE209552,human,acute_global,"brain tissue, region not specified",acute,severe TBI,,双硫死亡_核心转运与应激,来自用户提供的 2023 Nature Cell Biology 双硫死亡文章：SLC7A11/SLC3A2/RPN1/NCKAP1 为 CRISPR suppressor hits，Rac-WRC 轴促进双硫死亡。,False,False,,,0.6077911488752639,GSE209552 human acute brain severe
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE209552_human_acute_brain_severe_TBI_vs_Control,WASF2,0.8579191421875532,6.72009803281537,5.862178890627817,0.1542959890537806,4.0,3.0,0.7301501106874008,GSE209552,human,acute_global,"brain tissue, region not specified",acute,severe TBI,,双硫死亡_核心转运与应激,来自用户提供的 2023 Nature Cell Biology 双硫死亡文章：SLC7A11/SLC3A2/RPN1/NCKAP1 为 CRISPR suppressor hits，Rac-WRC 轴促进双硫死亡。,False,False,,,0.8579191421875532,GSE209552 human acute brain severe
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE209552_human_acute_brain_severe_TBI_vs_Control,SLC7A11,0.1303144242740677,6.701211509206166,6.570897084932098,0.7228743463817118,4.0,3.0,0.8878233699118223,GSE209552,human,acute_global,"brain tissue, region not specified",acute,severe TBI,,双硫死亡_核心转运与应激,来自用户提供的 2023 Nature Cell Biology 双硫死亡文章：SLC7A11/SLC3A2/RPN1/NCKAP1 为 CRISPR suppressor hits，Rac-WRC 轴促进双硫死亡。,False,False,,,0.1303144242740677,GSE209552 human acute brain severe
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE319253_human_superior_frontal_cortex_CTE_vs_Control,SLC7A11,1.1306207878830152,6.965081104339821,5.834460316456806,0.00010102579114,6.0,6.0,0.1184110961656366,GSE319253,human,human_brain_region_CTE,superior frontal cortex,,,,双硫死亡_核心转运与应激,来自用户提供的 2023 Nature Cell Biology 双硫死亡文章：SLC7A11/SLC3A2/RPN1/NCKAP1 为 CRISPR suppressor hits，Rac-WRC 轴促进双硫死亡。,True,False,,,1.1306207878830152,319253 CTE vs Control
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE319253_human_superior_frontal_cortex_CTE_vs_Control,ACTB,-0.5244398530869763,10.130547355576324,10.6549872086633,0.0116384569064424,6.0,6.0,0.2626530926331764,GSE319253,human,human_brain_region_CTE,superior frontal cortex,,,,双硫死亡_肌动蛋白骨架靶蛋白,来自同文：葡萄糖饥饿下 SLC7A11-high 细胞的二硫键化肌动蛋白骨架蛋白。,True,False,,,-0.5244398530869763,319253 CTE vs Control
