article_title,journal_name,author_names,corresponding_author_email,analysis_unit,time,scope,region,treatment,mean_logFC,median_logFC,positive_genes,nominal_genes,panel_FDR_genes,min_p,n_genes
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_29DPI_all_regions_all_treatments,29DPI,overall,all,all,0.0698008824053691,0.0490014019093795,7,1,0,0.0090478500218144,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_3DPI_Thal_all_treatments,3DPI,region,Thal,all,0.06768704512931,0.0766835571270938,7,1,0,0.0077030213811797,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_3DPI_Hypo_all_treatments,3DPI,region,Hypo,all,0.0654156165006684,0.0686111407759502,8,1,0,0.0156914590084016,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_29DPI_Hipp_Veh,29DPI,region_treatment,Hipp,Veh,0.1264180916799575,0.1250162197885602,8,0,0,0.0675669399040896,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_29DPI_Hypo_Drug,29DPI,region_treatment,Hypo,Drug,0.1086414580586436,0.1305970110749359,6,0,0,0.0706252245433567,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_3DPI_Thal_Veh,3DPI,region_treatment,Thal,Veh,0.0725600487989766,0.0789824349432186,6,0,0,0.1667859947898646,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_3DPI_Hypo_Drug,3DPI,region_treatment,Hypo,Drug,0.0555868825607877,0.0612255445026308,6,0,0,0.1014567396131156,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_29DPI_Hypo_all_treatments,29DPI,region,Hypo,all,0.036564835995232,0.0388169641729496,7,0,0,0.056169528093615,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_29DPI_Veh_all_regions,29DPI,treatment,all,Veh,0.0204964168885331,0.0076625609818274,5,0,0,0.3774620475414473,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_29DPI_Thal_all_treatments,29DPI,region,Thal,all,0.0202024498398018,0.0049886421468836,4,0,0,0.0959079202955094,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_29DPI_Thal_Veh,29DPI,region_treatment,Thal,Veh,-0.0294170549461775,-0.0099283443763944,2,0,0,0.1859110137546278,8
Transcriptomic Prioritization of a Disulfidptosis-Like Transporter-Actin Stress Axis After Traumatic Brain Injury,Neurochemical Research,Chenxu Zhang and Mingyang Zhang,mingyangzhang@suda.edu.cn,GSE163415_29DPI_Hypo_Veh,29DPI,region_treatment,Hypo,Veh,-0.0355117860681793,-0.0003285026837982,4,0,0,0.151399870473349,8
